Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
Lmap_IPF_62_27_P_QE_Samwise_23Jul20_19-12-04	62_27	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		15781	55588	0	72874	38246	0	34628	20216	18306	0	1910	27.74	47.86	NaN	5.52	16070	736782	45021	6.11	3886	8.63	86938	31774	31424	36.55	43.36	5615	17.67	+	0.50402	0.79647	0.33976	0.56996	
Lmap_IPF_94_124_P_QE_Samwise_23Jul20_19-12-04	94_124	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		18791	50311	0	68344	32232	0	36112	16999	14812	0	2187	24.87	45.95	NaN	6.06	13227	701614	40088	5.71	3527	8.8	75870	26469	26148	34.89	42.16	4986	18.84	+	0.479	0.75687	0.32794	0.5511	
Lmap_IPF_120_21_P_QE_Samwise_23Jul20_19-12-04	120_21	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		19265	47883	0	65389	30355	0	35034	15159	13140	0	2019	23.18	43.29	NaN	5.76	12145	705275	38258	5.42	3336	8.72	72496	24965	24690	34.44	41.39	4663	18.68	+	0.47578	0.755	0.31352	0.52767	
Lmap_IPF_120_101_P_QE_Samwise_23Jul20_19-12-04	120_101	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		19731	48591	0	66924	30236	0	36688	15832	13675	0	2157	23.66	45.23	NaN	5.88	12709	720531	38684	5.37	3559	9.2	72101	24501	24201	33.98	41.34	4870	19.88	+	0.4647	0.72923	0.31675	0.53313	
Lmap_IPF_120_107_P_QE_Samwise_23Jul20_19-12-04	120_107	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		22363	37782	0	53465	22077	0	31388	9576	7996	0	1580	17.91	36.22	NaN	5.03	7473	669851	29189	4.36	2374	8.13	68812	18464	18227	26.83	33.99	3147	17.04	+	0.51518	0.81697	0.34266	0.58459	
Lmap_IPF_127_10_P_QE_Samwise_23Jul20_19-12-04	127_10	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		17913	50675	0	68179	33145	0	35034	17196	15059	0	2137	25.22	45.43	NaN	6.1	13735	667249	40667	6.09	3763	9.25	72325	26994	26721	37.32	44.01	5242	19.42	+	0.479	0.74871	0.32403	0.53948	
Lmap_IPF_127_13_P_QE_Samwise_23Jul20_19-12-04	127_13	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		21279	41874	0	59412	24310	0	35102	9292	8029	0	1263	15.64	33.03	NaN	3.6	7053	667726	32803	4.91	3026	9.22	63596	19671	19348	30.93	38.06	3969	20.18	+	0.45833	0.71718	0.3104	0.51652	
Lmap_IPF_127_26_P_QE_Samwise_23Jul20_19-12-04	127_26	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		22272	37901	0	53836	21950	0	31886	7251	6278	0	973	13.47	28.6	NaN	3.05	5420	671421	29774	4.43	2725	9.15	60623	17903	17622	29.53	36.5	3428	19.15	+	0.44692	0.68208	0.28947	0.46469	
Lmap_IPF_145_94_P_QE_Samwise_23Jul20_19-12-04	145_94	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		16682	56870	0	75316	38398	0	36918	21287	19190	0	2097	28.26	49.98	NaN	5.68	16877	726651	46010	6.33	4091	8.89	84079	31474	31115	37.43	43.27	5949	18.9	+	0.48778	0.77316	0.33604	0.56583	
Lmap_IPF_190_28_P_QE_Samwise_23Jul20_19-12-04	190_28	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		18861	48709	0	66699	30669	0	36030	14313	12341	0	1972	21.46	40.24	NaN	5.47	11430	692758	38322	5.53	3387	8.84	73749	25202	24874	34.17	41.56	4729	18.76	+	0.4886	0.77171	0.32975	0.55536	
