"Enriched_in"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"up_in_IPF1"	"GO_CC"	"72562"	"blood microparticle "	22	74	70	1894	28.3783783783784	3.69588173178458	1.49447935169768e-12	2.1221606794107e-10	7.67837837837838	"O14791;P00738;P01023;P01024;P01619;P01700;P01871;P02042;P02647;P02671;P02675;P02679;P02730;P08697;P0DOY3;P11166;P19827;P63267;P68871;P69905;Q14624;P01780"
"up_in_IPF1"	"GO_CC"	"34364"	"high-density lipoprotein particle "	35	74	249	1894	45.945945945946	13.1467793030623	1.64256292468565e-11	7.77479784351207e-10	3.49484424183219	"O14791;P02647;K7ER74;A0A096LPE2;P02647;O14791;P04114;P01024;P02671;P00738;P68871;Q14624;P01023;P69905;P08697;P02675;P02679;P05546;P01871;P19827;P01619;Q06033;P02730;P01700;P00915;P32119;P0DOY3;P01780;P63267;P04040;Q05707;P36269;P01706;P50454;P11277"
"up_in_IPF1"	"GO_CC"	"34364"	"high-density lipoprotein particle"	35	74	249	1894	45.945945945946	13.1467793030623	1.64256292468565e-11	7.77479784351207e-10	3.49484424183219	"O14791;P02647;K7ER74;A0A096LPE2;P02647;O14791;P04114;P01024;P02671;P00738;P68871;Q14624;P01023;P69905;P08697;P02675;P02679;P05546;P01871;P19827;P01619;Q06033;P02730;P01700;P00915;P32119;P0DOY3;P01780;P63267;P04040;Q05707;P36269;P01706;P50454;P11277"
"up_in_IPF1"	"GO_CC"	"5576"	"extracellular region "	33	74	353	1894	43.2432432432432	18.6378035902851	1.35452125207371e-06	4.80855044486169e-05	2.32018987826353	"O14791;P00491;P00738;P01023;P01024;P01619;P01700;P01706;P02452;P02647;P02671;P02675;P02679;P04040;P04114;P05546;P05997;P08697;P0DOY3;P13716;P19827;P68871;P69905;Q05707;Q06033;Q14624;P01780;A0A0A0MS15;A0A0B4J1X5;B0YIW2;E7EPV7;Q5T985;V9GYM3"
"up_in_IPF1"	"GO_CC"	"19814"	"immunoglobulin complex "	7	74	9	1894	8.10810810810811	0.475184794086589	8.14148579743707e-06	0.000192681830539344	17.0630630630631	"P01700;P01706;P01780;A0A075B6K4;A0A087WSY6;A0A0A0MS15;A0A0B4J1X5"
"up_in_IPF1"	"GO_MF"	"3823"	"antigen binding "	8	74	18	1894	9.45945945945946	0.950369588173178	2.03779775914065e-05	0.00148759236417267	9.95345345345345	"P01619;P01700;P01706;P01871;P0DOY3;P01780;A0A0A0MS15;A0A0B4J1X5"
"up_in_IPF1"	"GO_CC"	"5615"	"extracellular space "	26	74	272	1894	33.7837837837838	14.3611404435058	3.20146120016909e-05	0.000649439272034302	2.35244435612083	"O14791;P00738;P01023;P01024;P01619;P01700;P01706;P01871;P02452;P02647;P02671;P02675;P02679;P04114;P05546;P05997;P08697;P0DOY3;P50454;P63267;P68871;P69905;Q05707;A0A075B6K4;A0A087WSY6;A0A0G2JPR0"
"up_in_IPF1"	"GO_MF"	"4866"	"endopeptidase inhibitor activity "	7	74	13	1894	8.10810810810811	0.686378035902851	3.91974831643799e-05	0.00190761084733315	11.8128898128898	"P01023;P01024;P05546;P08697;Q06033;Q14624;A0A0G2JPR0"
"up_in_IPF1"	"GO_BP"	"2250"	"adaptive immune response "	9	74	29	1894	10.8108108108108	1.5311510031679	3.9595427471537e-05	0.0180951103544924	7.06057781919851	"P01619;P01700;P01706;P01871;P02671;P02675;P0DOY3;A0A075B6K4;A0A087WSY6"
"up_in_IPF1"	"GO_BP"	"15670"	"carbon dioxide transport "	5	74	5	1894	5.4054054054054	0.263991552270327	0.000190704347960292	0.0290506290059512	20.4756756756757	"P00918;P02042;P68871;P69891;P69905"
