"enriched_in"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"Clust2"	"GO_BP"	"2250"	"adaptive immune response "	12	91	18	1825	12.0879120879121	0.986301369863014	1.55849328388638e-08	4.02091267242685e-06	12.2557997557998	"P01593;P01619;P01700;P01701;P01706;P01871;P0CG04;P01614;P01715;P0CF74;A0A087WSY6;Q5JY90"
"Clust2"	"GO_BP"	"6955"	"immune response "	10	91	22	1825	9.89010989010989	1.20547945205479	4.70922199861876e-06	0.00060748963782182	8.2042957042957	"P01593;P01619;P01700;P01701;P01706;P0CG04;P01614;P01715;P01780;A0A087WSY6"
"Clust2"	"GO_BP"	"16064"	"immunoglobulin mediated immune response "	5	91	6	1825	4.3956043956044	0.328767123287671	0.000666313475376337	0.057302958882365	13.3699633699634	"P0CG04;P01780;P0CF74;A0A0A0MS15;A0A075B7E8"
"Clust2"	"GO_BP"	"6869"	"lipid transport "	4	91	10	1825	3.2967032967033	0.547945205479452	0.0183838190763487	1	6.01648351648352	"P06727;Q6P163;B1AH96;V9GYS1"
"Clust2"	"GO_BP"	"50853"	"B cell receptor signaling pathway "	3	91	4	1825	2.1978021978022	0.219178082191781	0.0269247157111935	1	10.0274725274725	"P01871;P0CG04;P0CF74"
"Clust2"	"GO_BP"	"30199"	"collagen fibril organization "	3	91	5	1825	2.1978021978022	0.273972602739726	0.0365979077465307	1	8.02197802197802	"P02461;P08123;Q06828"
"Clust2"	"GO_BP"	"30198"	"extracellular matrix organization "	3	91	5	1825	2.1978021978022	0.273972602739726	0.0365979077465307	1	8.02197802197802	"P02461;P08123;P39059"
"Clust2"	"GO_BP"	"42157"	"lipoprotein metabolic process "	3	91	5	1825	2.1978021978022	0.273972602739726	0.0365979077465307	1	8.02197802197802	"P06727;B1AH96;V9GYS1"
"Clust2"	"GO_BP"	"42744"	"hydrogen peroxide catabolic process "	3	91	6	1825	2.1978021978022	0.328767123287671	0.0473826006613022	1	6.68498168498169	"P02100;P06727;P11678"
"Clust2"	"GO_CC"	"5615"	"extracellular space "	23	91	113	1825	24.1758241758242	6.19178082191781	3.97964058417708e-08	3.74086214912646e-06	3.90450257706895	"P01019;P01593;P01619;P01700;P01701;P01706;P01871;P02461;P06727;P08123;P0CG04;P11678;P11684;P29508;P39059;Q06828;P01614;P01715;P0CF74;A0A087WSY6;A0A3B3ISD7;A2A2R0;G3V350"
"Clust2"	"GO_CC"	"34364"	"high-density lipoprotein particle "	18	91	78	1825	18.6813186813187	4.27397260273973	4.57538944753548e-07	1.43362202689445e-05	4.37094956325726	"P06727;P35542;Q6P163;P06727;P35542;P01019;P01871;P01619;P0CG04;P01700;P01593;P01701;P01780;P29508;P01715;P01614;P0CF74;P01706"
"Clust2"	"GO_CC"	"34364"	"high-density lipoprotein particle"	18	91	78	1825	18.6813186813187	4.27397260273973	4.57538944753548e-07	1.43362202689445e-05	4.37094956325726	"P06727;P35542;Q6P163;P06727;P35542;P01019;P01871;P01619;P0CG04;P01700;P01593;P01701;P01780;P29508;P01715;P01614;P0CF74;P01706"
"Clust2"	"GO_CC"	"19814"	"immunoglobulin complex "	9	91	11	1825	8.79120879120879	0.602739726027397	6.44946698217799e-07	1.51562474081183e-05	14.5854145854146	"P01593;P01700;P01701;P01706;P01614;P01715;P01780;A0A087WSY6;A0A0A0MS15"
"Clust2"	"GO_CC"	"5576"	"extracellular region "	23	91	141	1825	24.1758241758242	7.72602739726027	1.28889430093659e-06	2.42312128576078e-05	3.12914036318292	"P01019;P01593;P01619;P01700;P01701;P01706;P02461;P06727;P08123;P0CG04;P11678;P29508;P39059;Q06828;Q8NBS9;P01614;P01715;P01780;P0CF74;P35542;A0A0A0MS15;B1AH96;V9GYS1"
"Clust2"	"GO_CC"	"72562"	"blood microparticle "	10	91	21	1825	9.89010989010989	1.15068493150685	3.46991050784713e-06	5.4361931289605e-05	8.59497645211931	"P01019;P01593;P01619;P01700;P01871;P02100;P06727;P0CG04;P01614;P01780"
"Clust2"	"GO_CC"	"5886"	"plasma membrane "	20	91	190	1825	20.8791208791209	10.4109589041096	0.00224309872822428	0.0301216114932975	2.00549450549451	"P01593;P01619;P01700;P01701;P01706;P01871;P02549;P0CG04;P29508;Q07065;Q13938;Q14315;P01614;P01715;P01780;P0CF74;A0A087WSY6;A0A0A0MS15;Q5JY90;A0A0D9SFK9"
"Clust2"	"GO_CC"	"5788"	"endoplasmic reticulum lumen "	7	91	32	1825	6.59340659340659	1.75342465753425	0.00619346357349689	0.0727731969885884	3.7603021978022	"P02461;P06727;P08123;P39059;Q07065;Q8NBS9;H0YBB2"
"Clust2"	"GO_CC"	"71753"	"IgM immunoglobulin complex "	3	91	3	1825	2.1978021978022	0.164383561643836	0.0184896720828821	0.160341643239132	13.3699633699634	"P01871;P0CG04;P0CF74"
"Clust2"	"GO_CC"	"70062"	"extracellular exosome "	18	91	223	1825	18.6813186813187	12.2191780821918	0.0472545050956846	0.317280248499596	1.52885231360568	"P01019;P01593;P01619;P01701;P01871;P06727;P08123;P0CG04;P11678;P11684;P17661;P29508;P39059;Q07065;Q8NBS9;P01614;P01780;P35542"
"Clust2"	"GO_MF"	"3823"	"antigen binding "	13	91	16	1825	13.1868131868132	0.876712328767123	5.91894074765086e-10	5.09028904297974e-08	15.0412087912088	"P01593;P01619;P01700;P01701;P01706;P01871;P0CG04;P01614;P01715;P01780;P0CF74;A0A0A0MS15;A0A075B7E8"
"Clust2"	"GO_MF"	"8289"	"lipid binding "	4	91	12	1825	3.2967032967033	0.657534246575343	0.0273962669765617	0.549883073937933	5.01373626373626	"P06727;B1AH96;V9GYS1;A2A2R0"
"Clust2"	"GO_MF"	"30020"	"extracellular matrix structural constituent conferring tensile strength "	3	91	5	1825	2.1978021978022	0.273972602739726	0.0365979077465307	0.549883073937933	8.02197802197802	"P02461;P08123;P39059"
"Clust2"	"GO_MF"	"4867"	"serine-type endopeptidase inhibitor activity "	4	91	14	1825	3.2967032967033	0.767123287671233	0.0383639353910186	0.549883073937933	4.29748822605965	"P01019;P29508;G3V350;H7C0L5"
"Clust2"	"KEGG_pathway"	"hsa04974"	"Protein digestion and absorption - Homo sapiens (human)"	3	91	6	1825	2.1978021978022	0.328767123287671	0.0473826006613022	1	6.68498168498169	"P08123;P02461;P39059"
"Clust2"	"REACTOME_pathway"	"R-HSA-198933"	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	11	91	15	1825	12.0879120879121	0.821917808219178	3.89395559335763e-09	2.71144488807817e-07	14.7069597069597	"P02461;P0CG04;P01715;P01780;P08123;P01619;P0CF74;P01614;P01701;P01593;P01706;P01700"
"Clust2"	"REACTOME_pathway"	"R-HSA-5690714"	"CD22 mediated BCR regulation"	10	91	12	1825	10.989010989011	0.657534246575343	9.0026733737102e-09	2.71144488807817e-07	16.7124542124542	"P01780;P01701;P01614;P0CG04;P01619;P01700;P01706;P01871;P01593;P0CF74;P01715"
"Clust2"	"REACTOME_pathway"	"R-HSA-202733"	"Cell surface interactions at the vascular wall"	11	91	17	1825	12.0879120879121	0.931506849315068	1.00423884743636e-08	2.71144488807817e-07	12.9767291531997	"P01780;P01715;P01614;P0CG04;P01619;P01706;P0CF74;P01701;P08123;P01871;P01593;P01700"
"Clust2"	"REACTOME_pathway"	"R-HSA-983695"	"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	10	91	14	1825	10.989010989011	0.767123287671233	2.53310612051125e-08	5.12953989403528e-07	14.3249607535322	"P01619;P01700;P01593;P01706;P01871;P0CF74;P01614;P0CG04;P01715;P01701;P01780"
"Clust2"	"REACTOME_pathway"	"R-HSA-9679191"	"Potential therapeutics for SARS"	10	91	15	1825	10.989010989011	0.821917808219178	4.06636627363839e-08	6.00390036474269e-07	13.3699633699634	"P01700;P01619;P01614;P01871;P01706;P01593;P01701;P01780;P0CF74;P0CG04;P01715"
"Clust2"	"REACTOME_pathway"	"R-HSA-2168880"	"Scavenging of heme from plasma"	9	91	11	1825	9.89010989010989	0.602739726027397	5.92977813801747e-08	6.00390036474269e-07	16.4085914085914	"P01780;P01700;P01619;P0CG04;P01706;P01614;P0CF74;P01715;P01701;P01593"
"Clust2"	"REACTOME_pathway"	"R-HSA-2454202"	"Fc epsilon receptor (FCERI) signaling"	9	91	11	1825	9.89010989010989	0.602739726027397	5.92977813801747e-08	6.00390036474269e-07	16.4085914085914	"P01619;P01701;P01700;P01593;P0CF74;P01706;P01614;P01780;P0CG04;P01715"
"Clust2"	"REACTOME_pathway"	"R-HSA-2730905"	"Role of LAT2/NTAL/LAB on calcium mobilization"	9	91	11	1825	9.89010989010989	0.602739726027397	5.92977813801747e-08	6.00390036474269e-07	16.4085914085914	"P01701;P01593;P01780;P01619;P01700;P0CF74;P01706;P01614;P01715;P0CG04"
"Clust2"	"REACTOME_pathway"	"R-HSA-173623"	"Classical antibody-mediated complement activation"	9	91	12	1825	9.89010989010989	0.657534246575343	9.99474385950287e-08	8.09574252619733e-07	15.0412087912088	"P01780;P01701;P01614;P01715;P01619;P01593;P01700;P0CG04;P01706;P0CF74"
"Clust2"	"REACTOME_pathway"	"R-HSA-2871796"	"FCERI mediated MAPK activation"	9	91	12	1825	9.89010989010989	0.657534246575343	9.99474385950287e-08	8.09574252619733e-07	15.0412087912088	"P01700;P01593;P0CG04;P01619;P01706;P01614;P01780;P01715;P0CF74;P01701"
"Clust2"	"REACTOME_pathway"	"R-HSA-166663"	"Initial triggering of complement"	9	91	13	1825	9.89010989010989	0.712328767123288	1.62909199132866e-07	9.42546080697297e-07	13.8841927303466	"P01701;P0CG04;P01614;P0CF74;P01593;P01780;P01715;P01619;P01700;P01706"
"Clust2"	"REACTOME_pathway"	"R-HSA-2029481"	"FCGR activation"	9	91	13	1825	9.89010989010989	0.712328767123288	1.62909199132866e-07	9.42546080697297e-07	13.8841927303466	"P01780;P0CF74;P01593;P01619;P01706;P01700;P01715;P01701;P01614;P0CG04"
