"Uniprot_Accession","Uniprot_ID","REACTOME_ID","REACTOME_description"
"P22681","CBL_HUMAN","R-HSA-1059683","Interleukin-6 signaling"
"O60674","JAK2_HUMAN","R-HSA-1059683","Interleukin-6 signaling"
"P23458","JAK1_HUMAN","R-HSA-1059683","Interleukin-6 signaling"
"O14543","SOCS3_HUMAN","R-HSA-1059683","Interleukin-6 signaling"
"Q06124","PTN11_HUMAN","R-HSA-1059683","Interleukin-6 signaling"
"P40189","IL6RB_HUMAN","R-HSA-1059683","Interleukin-6 signaling"
"P40763","STAT3_HUMAN","R-HSA-1059683","Interleukin-6 signaling"
"P29597","TYK2_HUMAN","R-HSA-1059683","Interleukin-6 signaling"
"P08887","IL6RA_HUMAN","R-HSA-1059683","Interleukin-6 signaling"
"P05231","IL6_HUMAN","R-HSA-1059683","Interleukin-6 signaling"
"P36888","FLT3_HUMAN","R-HSA-109704","PI3K Cascade"
"P22455","FGFR4_HUMAN","R-HSA-109704","PI3K Cascade"
"P21781","FGF7_HUMAN","R-HSA-109704","PI3K Cascade"
"Q9UQC2","GAB2_HUMAN","R-HSA-109704","PI3K Cascade"
"Q9GZV9","FGF23_HUMAN","R-HSA-109704","PI3K Cascade"
"P21802","FGFR2_HUMAN","R-HSA-109704","PI3K Cascade"
"O95750","FGF19_HUMAN","R-HSA-109704","PI3K Cascade"
"Q9HCT0","FGF22_HUMAN","R-HSA-109704","PI3K Cascade"
"P22607","FGFR3_HUMAN","R-HSA-109704","PI3K Cascade"
"Q9NP95","FGF20_HUMAN","R-HSA-109704","PI3K Cascade"
"O43320","FGF16_HUMAN","R-HSA-109704","PI3K Cascade"
"P31371","FGF9_HUMAN","R-HSA-109704","PI3K Cascade"
"Q9Y4H2","IRS2_HUMAN","R-HSA-109704","PI3K Cascade"
"Q13480","GAB1_HUMAN","R-HSA-109704","PI3K Cascade"
"P11487","FGF3_HUMAN","R-HSA-109704","PI3K Cascade"
"Q9NR96","TLR9_HUMAN","R-HSA-109704","PI3K Cascade"
"P10767","FGF6_HUMAN","R-HSA-109704","PI3K Cascade"
"O15520","FGF10_HUMAN","R-HSA-109704","PI3K Cascade"
"P05230","FGF1_HUMAN","R-HSA-109704","PI3K Cascade"
"P35568","IRS1_HUMAN","R-HSA-109704","PI3K Cascade"
"Q8WU20","FRS2_HUMAN","R-HSA-109704","PI3K Cascade"
"Q9UEF7","KLOT_HUMAN","R-HSA-109704","PI3K Cascade"
"O76093","FGF18_HUMAN","R-HSA-109704","PI3K Cascade"
"P09038","FGF2_HUMAN","R-HSA-109704","PI3K Cascade"
"P42338","PK3CB_HUMAN","R-HSA-109704","PI3K Cascade"
"Q99570","PI3R4_HUMAN","R-HSA-109704","PI3K Cascade"
"P27986","P85A_HUMAN","R-HSA-109704","PI3K Cascade"
"P11362","FGFR1_HUMAN","R-HSA-109704","PI3K Cascade"
"Q86Z14","KLOTB_HUMAN","R-HSA-109704","PI3K Cascade"
"Q06124","PTN11_HUMAN","R-HSA-109704","PI3K Cascade"
"P49771","FLT3L_HUMAN","R-HSA-109704","PI3K Cascade"
"O00459","P85B_HUMAN","R-HSA-109704","PI3K Cascade"
"P08620","FGF4_HUMAN","R-HSA-109704","PI3K Cascade"
"P42336","PK3CA_HUMAN","R-HSA-109704","PI3K Cascade"
"Q8NEB9","PK3C3_HUMAN","R-HSA-109704","PI3K Cascade"
"P08887","IL6RA_HUMAN","R-HSA-110056","MAPK3 (ERK1) activation"
"P06493","CDK1_HUMAN","R-HSA-110056","MAPK3 (ERK1) activation"
"P05231","IL6_HUMAN","R-HSA-110056","MAPK3 (ERK1) activation"
"O60674","JAK2_HUMAN","R-HSA-110056","MAPK3 (ERK1) activation"
"Q02750","MP2K1_HUMAN","R-HSA-110056","MAPK3 (ERK1) activation"
"P23458","JAK1_HUMAN","R-HSA-110056","MAPK3 (ERK1) activation"
"Q06124","PTN11_HUMAN","R-HSA-110056","MAPK3 (ERK1) activation"
"P27361","MK03_HUMAN","R-HSA-110056","MAPK3 (ERK1) activation"
"P29597","TYK2_HUMAN","R-HSA-110056","MAPK3 (ERK1) activation"
"P35249","RFC4_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
"P27694","RFA1_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
"Q9UBZ9","REV1_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
"P0CG48","UBC_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
"P12004","PCNA_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
"P62987","RL40_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
"P0CG47","UBB_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
"P35251","RFC1_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
"O60673","REV3L_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
"Q9UI95","MD2L2_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
"P15927","RFA2_HUMAN","R-HSA-110312","Translesion synthesis by REV1"
