"Uniprot_Accession","Uniprot_ID","KEGG_ID","Pathway_ID","Pathway_name"
"P11245","ARY2_HUMAN","hsa:10","hsa01100","Metabolic pathways - Homo sapiens (human)"
"P11245","ARY2_HUMAN","hsa:10","hsa00232","Caffeine metabolism - Homo sapiens (human)"
"P11245","ARY2_HUMAN","hsa:10","hsa00983","Drug metabolism - other enzymes - Homo sapiens (human)"
"P11245","ARY2_HUMAN","hsa:10","hsa05204","Chemical carcinogenesis - DNA adducts - Homo sapiens (human)"
"P00813","ADA_HUMAN","hsa:100","hsa01232","Nucleotide metabolism - Homo sapiens (human)"
"P00813","ADA_HUMAN","hsa:100","hsa01100","Metabolic pathways - Homo sapiens (human)"
"P00813","ADA_HUMAN","hsa:100","hsa05340","Primary immunodeficiency - Homo sapiens (human)"
"P00813","ADA_HUMAN","hsa:100","hsa00230","Purine metabolism - Homo sapiens (human)"
"P19022","CADH2_HUMAN","hsa:1000","hsa05412","Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"
"P19022","CADH2_HUMAN","hsa:1000","hsa04514","Cell adhesion molecules - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04150","mTOR signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa01524","Platinum drug resistance - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04973","Carbohydrate digestion and absorption - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04910","Insulin signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05017","Spinocerebellar ataxia - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04014","Ras signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04919","Thyroid hormone signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04923","Regulation of lipolysis in adipocytes - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04920","Adipocytokine signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05160","Hepatitis C - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04668","TNF signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05213","Endometrial cancer - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04072","Phospholipase D signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04664","Fc epsilon RI signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04211","Longevity regulating pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04935","Growth hormone synthesis, secretion and action - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05218","Melanoma - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04660","T cell receptor signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05161","Hepatitis B - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04914","Progesterone-mediated oocyte maturation - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04066","HIF-1 signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05220","Chronic myeloid leukemia - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05162","Measles - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05165","Human papillomavirus infection - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05225","Hepatocellular carcinoma - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04510","Focal adhesion - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04625","C-type lectin receptor signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04936","Alcoholic liver disease - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04931","Insulin resistance - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04725","Cholinergic synapse - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05214","Glioma - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa01522","Endocrine resistance - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04810","Regulation of actin cytoskeleton - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04370","VEGF signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05131","Shigellosis - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05152","Tuberculosis - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04024","cAMP signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05230","Central carbon metabolism in cancer - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04922","Glucagon signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05163","Human cytomegalovirus infection - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04140","Autophagy - animal - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04071","Sphingolipid signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05167","Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05145","Toxoplasmosis - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa01521","EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa05205","Proteoglycans in cancer - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04010","MAPK signaling pathway - Homo sapiens (human)"
"Q9Y243","AKT3_HUMAN","hsa:10000","hsa04613","Neutrophil extracellular trap formation - Homo sapiens (human)"
